"Mass","C","H","O","N","S","P","El_comp","Class_old","Class","AImod","NOSC","HC","OC","formula_c","formula_h","formula_o","formula_n","formula_s","formula_p","formula"
283.044761010511,16,14,1,0,0,2,"CHOP","UnsatHC","aromatic",0.6296,-0.75,0.88,0.06,"C16","H14","O1",NA,NA,"P2","C16H14O1P2"
283.045941037258,12,12,8,0,0,0,"CHO","Tannin","unsaturated/lignin",0.375,0.3333,1,0.67,"C12","H12","O8",NA,NA,NA,"C12H12O8"
283.060541475666,8,16,7,2,1,0,"CHONS","Carb","saturated",-3,0.75,2,0.88,"C8","H16","O7","N2","S1",NA,"C8H16O7N2S1"
283.061170498807,16,12,5,0,0,0,"CHO","ConHC","aromatic",0.6296,-0.125,0.75,0.31,"C16","H12","O5",NA,NA,NA,"C16H12O5"
283.067128822091,9,16,10,0,0,0,"CHO","Other","unsaturated aliphatic",-0.75,0.4444,1.78,1.11,"C9","H16","O10",NA,NA,NA,"C9H16O10"
283.082349591004,13,16,7,0,0,0,"CHO","Lignin","unsaturated/lignin",0.2632,-0.1538,1.23,0.54,"C13","H16","O7",NA,NA,NA,"C13H16O7"
283.085707178201,10,20,7,0,1,0,"CHOS","Carb","saturated",-0.6364,-0.4,2,0.7,"C10","H20","O7",NA,"S1",NA,"C10H20O7S1"
283.097677212417,17,16,4,0,0,0,"CHO","Lignin","aromatic",0.5333,-0.4706,0.94,0.24,"C17","H16","O4",NA,NA,NA,"C17H16O4"
283.118712458501,14,20,6,0,0,0,"CHO","Lignin","unsaturated/lignin",0.1818,-0.5714,1.43,0.43,"C14","H20","O6",NA,NA,NA,"C14H20O6"
283.15508017143,15,24,5,0,0,0,"CHO","Protein","unsaturated aliphatic",0.12,-0.9333,1.6,0.33,"C15","H24","O5",NA,NA,NA,"C15H24O5"
283.264177829939,18,36,2,0,0,0,"CHO","Lipid","saturated",0,-1.7778,2,0.11,"C18","H36","O2",NA,NA,NA,"C18H36O2"
283.264393568118,18,36,2,0,0,0,"CHO","Lipid","saturated",0,-1.7778,2,0.11,"C18","H36","O2",NA,NA,NA,"C18H36O2"
284.018191462496,10,13,1,3,1,2,"CHONSP","UnsatHC","unsaturated/lignin",0.1429,0,1.3,0.1,"C10","H13","O1","N3","S1","P2","C10H13O1N3S1P2"
285.00402918968,14,6,7,0,0,0,"CHO","ConHC","condensed aromatic",0.8095,0.5714,0.43,0.5,"C14","H6","O7",NA,NA,NA,"C14H6O7"
285.025231208584,11,10,9,0,0,0,"CHO","Tannin","unsaturated/lignin",0.3846,0.7273,0.91,0.82,"C11","H10","O9",NA,NA,NA,"C11H10O9"
285.039798154733,7,14,8,2,1,0,"CHONS","Other","saturated",-Inf,1.4286,2,1.14,"C7","H14","O8","N2","S1",NA,"C7H14O8N2S1"
285.040447310933,15,10,6,0,0,0,"CHO","ConHC","condensed aromatic",0.6667,0.1333,0.67,0.4,"C15","H10","O6",NA,NA,NA,"C15H10O6"
285.050796084481,16,15,1,0,1,1,"CHOSP","UnsatHC","aromatic",0.5556,-0.6875,0.94,0.06,"C16","H15","O1",NA,"S1","P1","C16H15O1S1P1"
285.061572285321,12,14,8,0,0,0,"CHO","Tannin","unsaturated/lignin",0.25,0.1667,1.17,0.67,"C12","H14","O8",NA,NA,NA,"C12H14O8"
285.076866259505,16,14,5,0,0,0,"CHO","Lignin","aromatic",0.5556,-0.25,0.88,0.31,"C16","H14","O5",NA,NA,NA,"C16H14O5"
285.097973127176,13,18,7,0,0,0,"CHO","Lignin","unsaturated/lignin",0.1579,-0.3077,1.38,0.54,"C13","H18","O7",NA,NA,NA,"C13H18O7"
285.113200702493,17,18,4,0,0,0,"CHO","Lignin","unsaturated/lignin",0.4667,-0.5882,1.06,0.24,"C17","H18","O4",NA,NA,NA,"C17H18O4"
285.134373284715,14,22,6,0,0,0,"CHO","Protein","unsaturated aliphatic",0.0909,-0.7143,1.57,0.43,"C14","H22","O6",NA,NA,NA,"C14H22O6"
285.14569160158,13,22,5,2,0,0,"CHON","Protein","aliphatic+N",-0.0588,-0.4615,1.69,0.38,"C13","H22","O5","N2",NA,NA,"C13H22O5N2"
285.170813873605,15,26,5,0,0,0,"CHO","Protein","unsaturated aliphatic",0.04,-1.0667,1.73,0.33,"C15","H26","O5",NA,NA,NA,"C15H26O5"
285.207018739421,16,30,4,0,0,0,"CHO","Lipid","unsaturated aliphatic",0,-1.375,1.88,0.25,"C16","H30","O4",NA,NA,NA,"C16H30O4"
285.207214956845,16,30,4,0,0,0,"CHO","Lipid","unsaturated aliphatic",0,-1.375,1.88,0.25,"C16","H30","O4",NA,NA,NA,"C16H30O4"
286.927182847472,8,6,2,2,2,2,"CHONSP","ConHC","condensed aromatic",1,1,0.75,0.25,"C8","H6","O2","N2","S2","P2","C8H6O2N2S2P2"
286.962917624799,8,6,6,2,0,2,"CHONP","ConHC","condensed aromatic",1,1.5,0.75,0.75,"C8","H6","O6","N2",NA,"P2","C8H6O6N2P2"
287.019743089116,14,8,7,0,0,0,"CHO","ConHC","condensed aromatic",0.7143,0.4286,0.57,0.5,"C14","H8","O7",NA,NA,NA,"C14H8O7"
287.040760802017,11,12,9,0,0,0,"CHO","Tannin","unsaturated/lignin",0.2308,0.5455,1.09,0.82,"C11","H12","O9",NA,NA,NA,"C11H12O9"
287.051980860326,10,12,8,2,0,0,"CHON","Tannin","unsaturated/lignin",0,1,1.2,0.8,"C10","H12","O8","N2",NA,NA,"C10H12O8N2"
287.05609059923,15,12,6,0,0,0,"CHO","Lignin","aromatic",0.5833,0,0.8,0.4,"C15","H12","O6",NA,NA,NA,"C15H12O6"
287.05960322528,12,16,6,0,1,0,"CHOS","Lignin","unsaturated/lignin",0.125,-0.1667,1.33,0.5,"C12","H16","O6",NA,"S1",NA,"C12H16O6S1"
287.077270468963,12,16,8,0,0,0,"CHO","Tannin","unsaturated/lignin",0.125,0,1.33,0.67,"C12","H16","O8",NA,NA,NA,"C12H16O8"
287.091786674852,8,20,7,2,1,0,"CHONS","Other","saturated",-4.3333,0.25,2.5,0.88,"C8","H20","O7","N2","S1",NA,"C8H20O7N2S1"
287.091976020009,8,20,7,2,1,0,"CHONS","Other","saturated",-4.3333,0.25,2.5,0.88,"C8","H20","O7","N2","S1",NA,"C8H20O7N2S1"
287.092477211606,16,16,5,0,0,0,"CHO","Lignin","unsaturated/lignin",0.4815,-0.375,1,0.31,"C16","H16","O5",NA,NA,NA,"C16H16O5"
287.113616382501,13,20,7,0,0,0,"CHO","Protein","unsaturated aliphatic",0.0526,-0.4615,1.54,0.54,"C13","H20","O7",NA,NA,NA,"C13H20O7"
287.128922833411,17,20,4,0,0,0,"CHO","Lignin","unsaturated/lignin",0.4,-0.7059,1.18,0.24,"C17","H20","O4",NA,NA,NA,"C17H20O4"
287.149992714773,14,24,6,0,0,0,"CHO","Protein","unsaturated aliphatic",0,-0.8571,1.71,0.43,"C14","H24","O6",NA,NA,NA,"C14H24O6"
287.165311254734,18,24,3,0,0,0,"CHO","Lignin","unsaturated/lignin",0.3333,-1,1.33,0.17,"C18","H24","O3",NA,NA,NA,"C18H24O3"
287.222732358231,16,32,4,0,0,0,"CHO","Lipid","saturated",-0.0714,-1.5,2,0.25,"C16","H32","O4",NA,NA,NA,"C16H32O4"
288.954336219219,12,3,7,0,0,1,"CHOP","ConHC","condensed aromatic",1,0.9167,0.25,0.58,"C12","H3","O7",NA,NA,"P1","C12H3O7P1"
288.986628577963,8,7,8,2,0,1,"CHONP","Tannin","unsaturated/lignin",0,1.875,0.88,1,"C8","H7","O8","N2",NA,"P1","C8H7O8N2P1"
288.999033429734,13,6,8,0,0,0,"CHO","ConHC","condensed aromatic",0.7778,0.7692,0.46,0.62,"C13","H6","O8",NA,NA,NA,"C13H6O8"
289.035394666617,14,10,7,0,0,0,"CHO","ConHC","aromatic",0.619,0.2857,0.71,0.5,"C14","H10","O7",NA,NA,NA,"C14H10O7"
289.071057179398,7,18,8,2,1,0,"CHONS","Other","saturated",-Inf,0.8571,2.57,1.14,"C7","H18","O8","N2","S1",NA,"C7H18O8N2S1"
289.071773246725,15,14,6,0,0,0,"CHO","Lignin","unsaturated/lignin",0.5,-0.1333,0.93,0.4,"C15","H14","O6",NA,NA,NA,"C15H14O6"
289.108136713825,16,18,5,0,0,0,"CHO","Lignin","unsaturated/lignin",0.4074,-0.5,1.12,0.31,"C16","H18","O5",NA,NA,NA,"C16H18O5"
289.129225364575,13,22,7,0,0,0,"CHO","Protein","unsaturated aliphatic",-0.0526,-0.6154,1.69,0.54,"C13","H22","O7",NA,NA,NA,"C13H22O7"
289.144534806309,17,22,4,0,0,0,"CHO","Lignin","unsaturated/lignin",0.3333,-0.8235,1.29,0.24,"C17","H22","O4",NA,NA,NA,"C17H22O4"
289.165698251046,14,26,6,0,0,0,"CHO","Protein","unsaturated aliphatic",-0.0909,-1,1.86,0.43,"C14","H26","O6",NA,NA,NA,"C14H26O6"
289.986851232871,13,10,1,1,2,1,"CHONSP","ConHC","aromatic",0.6471,-0.0769,0.77,0.08,"C13","H10","O1","N1","S2","P1","C13H10O1N1S2P1"
