Core,ppm,Intensity,Width,Area,Flags
73,4.36,0.1,2.2,2.18,None
73,4.34,0.2,2.37,5.66,None
73,4.33,0.1,2.24,3.03,None
73,3.51,0.3,3.1,10.3,None
74,7.09,0.1,95.49,100.06,None
74,3.5,0.4,2.9,15.27,None
76,7.22,0.1,7.11,12.88,None
76,7.09,0.1,5.88,9.88,None
76,6.96,0.1,6.22,10.9,None
76,6.53,0.4,4.96,21.92,None
77,6.52,0.1,2.04,2.48,None
77,3.57,0.1,1.51,1.07,None
78,7.21,0.1,17.82,11.91,None
78,7.09,0.1,18.2,13.06,None
78,6.52,0.1,1.19,1.32,None
78,3.51,0.5,2.49,15.64,None
79,7.22,0.1,18.64,16.78,None
79,7.09,0.1,17.77,17.99,None
79,6.97,0.1,15.8,13.3,None
79,6.52,0.1,1.68,2.48,None
79,3.51,0.6,2.69,20.73,None
80,6.52,0.1,1.65,2.23,None
81,7.08,0.1,85.95,60.51,None
81,6.53,0.2,1.6,3.46,None
81,6.52,0.6,1.73,12.43,None
81,3.51,0.1,2.73,4.94,None
82,7.09,0.2,89.44,206.44,None
83,7.21,0.1,28.71,17.66,None
83,6.97,0.1,28.81,19.88,None
83,6.52,0.2,1.23,3.75,None
84,7.24,0.1,61.72,66.97,None
84,7.1,0.2,49.43,105.81,None
84,7,0.1,34.91,29.79,None
85,7.09,0.1,90.74,138.01,None
85,3.51,1.4,2.09,34.04,None
86,7.21,0.1,10.51,10.18,None
86,7.09,0.1,9.41,10.16,None
86,6.96,0.1,9.91,8.73,None
86,6.52,0.2,1.5,3.09,None
87,7.22,0.1,16.24,11.47,None
87,7.1,0.1,18.71,14.27,None
87,6.52,0.1,2.02,1.84,None
87,3.51,0.5,3.02,19.95,None
89,6.52,0.1,1.06,1.72,None
89,3.51,0.3,2.42,9.67,None
90,7.22,0.1,6.42,8.1,None
90,7.09,0.1,6.12,7.48,None
90,6.96,0.1,5.92,7.47,None
90,6.53,0.1,1.56,2.13,None
90,6.52,0.9,1.71,18.55,None
91,8.14,0.1,3.07,5.13,None
91,6.57,0.4,1.62,8.57,None
91,6.55,0.4,1.55,8.47,None
92,7.25,0.1,116.94,57.26,None
92,7.02,0.1,110.23,96.42,None
92,6.57,0.3,3.65,12.01,None
92,6.55,0.3,3.6,11.88,None
92,6.52,0.1,4.07,6.63,None
92,6.2,0.2,3.81,11.75,None
92,6.19,0.2,3.57,8.82,None
92,5.1,0.1,15.13,11.38,None
92,4.96,0.2,156.82,347.1,None
93,7.11,0.1,77.14,65.73,None
93,7.06,0.1,109.17,69.13,None
93,6.57,0.3,2.63,9.03,None
93,6.55,0.3,2.92,11.81,None
93,6.2,0.2,3.09,9.26,None
93,6.18,0.3,3.22,10.46,None
93,4.91,0.2,3.67,8.23,None
93,4.9,0.3,3.25,10.45,None
