"Mass","formula","HC","OC"
313.05652772947,"C13H14O9",1.08,0.69
313.070614401426,"C11H15O5N4P1",1.36,0.45
313.071791736265,"C17H14O6",0.82,0.35
313.078481916216,"C11H22O6S2",2,0.55
313.09190371764,"C8H19O7N4P1",2.38,0.88
313.092906968746,"C14H18O8",1.29,0.57
313.108161516256,"C18H18O5",1,0.28
313.128284974232,"C9H23O6N4P1",2.56,0.67
313.129306205863,"C15H22O7",1.47,0.47
313.144609943616,"C19H22O4",1.16,0.21
313.157559951804,"C16H27O4P1",1.69,0.25
313.163072936668,"C20H26O1S1",1.3,0.05
313.165711115929,"C16H26O6",1.62,0.38
313.180939380529,"C20H26O3",1.3,0.15
313.202055018461,"C17H30O5",1.76,0.29
313.238380173468,"C18H34O4",1.89,0.22
314.048577018285,"C8H17O6N3S2",2.12,0.75
314.167861878226,"C19H26O1N1P1",1.37,0.05
314.172131607726,"C14H25O5N3",1.79,0.36
314.208546276851,"C15H29O4N3",1.93,0.27
315.013654641075,"C9H9O7N4P1",1,0.78
315.014599635638,"C15H8O8",0.53,0.53
315.035777619927,"C12H12O10",1,0.83
315.049651603696,"C10H21O5S2P1",2.1,0.5
315.049903844395,"C10H13O6N4P1",1.3,0.6
315.05009070295,"C10H13O6N4P1",1.3,0.6
315.051048847449,"C16H12O7",0.75,0.44
315.071229780237,"C7H17O8N4P1",2.43,1.14
315.072147596466,"C13H16O9",1.23,0.69
315.08633908337,"C11H17O5N4P1",1.55,0.45
315.086498069731,"C11H17O5N4P1",1.55,0.45
315.086678383524,"C9H20O8N2S1",2.22,0.89
315.087382402359,"C17H16O6",0.94,0.35
315.098679013762,"C16H16O5N2",1,0.31
315.108556440977,"C14H20O8",1.43,0.57
315.122775649334,"C12H21O4N4P1",1.75,0.33
315.123816311598,"C18H20O5",1.11,0.28
315.143756489574,"C9H25O6N4P1",2.78,0.67
315.144905133412,"C15H24O7",1.6,0.47
315.160160281557,"C19H24O4",1.26,0.21
315.167466188893,"C13H24O5N4",1.85,0.38
315.181357324042,"C16H28O6",1.75,0.38
315.207672554022,"C19H28O2N2",1.47,0.11
315.217677083896,"C17H32O5",1.88,0.29
315.254208962862,"C18H36O4",2,0.22
316.046185059234,"C15H11O7N1",0.73,0.47
316.158497795574,"C17H24O1N3P1",1.41,0.06
316.18778462831,"C14H27O5N3",1.93,0.36
316.94286401046,"C12H3O5N2S1P1",0.25,0.42
316.952694259624,"C10H7O8S1P1",0.7,0.8
316.99280164498,"C8H7O8N4P1",0.88,1
316.993860701753,"C14H6O9",0.43,0.64
316.994059644733,"C14H6O9",0.43,0.64
317.029265815791,"C9H11O7N4P1",1.22,0.78
317.030275587265,"C15H10O8",0.67,0.53
317.040656796597,"C16H15O3S1P1",0.94,0.19
317.051452461504,"C12H14O10",1.17,0.83
317.065190410058,"C10H23O5S2P1",2.3,0.5
317.065523447381,"C10H15O6N4P1",1.5,0.6
317.066030006289,"C8H18O9N2S1",2.25,1.12
317.066704706065,"C16H14O7",0.88,0.44
317.077942038787,"C15H14O6N2",0.93,0.4
317.079711730786,"C13H19O7P1",1.46,0.54
317.086672698353,"C7H19O8N4P1",2.71,1.14
317.08778637807,"C13H18O9",1.38,0.69
317.103049081306,"C17H18O6",1.06,0.35
317.124228963413,"C14H22O8",1.57,0.57
317.138283011884,"C12H23O4N4P1",1.92,0.33
317.139454630858,"C18H22O5",1.22,0.28
317.160549975293,"C15H26O7",1.73,0.47
317.174835609197,"C13H27O3N4P1",2.08,0.23
317.175833430163,"C19H26O4",1.37,0.21
317.196999428657,"C16H30O6",1.88,0.38
318.061923536997,"C15H13O7N1",0.87,0.47
318.09833686387,"C16H17O6N1",1.06,0.38
318.11933700303,"C13H21O8N1",1.62,0.62
318.167069360685,"C13H25O6N3",1.92,0.46
319.009539806102,"C14H8O9",0.57,0.64
319.027735441791,"C17H9O3N2P1",0.53,0.18
319.044487378977,"C9H21O6S2P1",2.33,0.67
319.044777414752,"C9H13O7N4P1",1.44,0.78
319.045991873443,"C15H12O8",0.8,0.53
319.061152234862,"C19H12O5",0.63,0.26
319.067128854934,"C12H16O10",1.33,0.83
319.081231054148,"C8H20O9N2S1",2.5,1.12
319.08232068445,"C16H16O7",1,0.44
319.093706932638,"C15H16O6N2",1.07,0.4
319.117733289538,"C11H21O5N4P1",1.91,0.45
319.118758049593,"C17H20O6",1.18,0.35
319.13990252127,"C14H24O8",1.71,0.57
319.154019250783,"C12H25O4N4P1",2.08,0.33
319.15510098904,"C18H24O5",1.33,0.28
319.176317067265,"C15H28O7",1.87,0.47
319.190551705358,"C13H29O3N4P1",2.23,0.23
319.191527540285,"C19H28O4",1.47,0.21
319.983180561607,"C8H7O9N3S1",0.88,1.12
320.041167648965,"C14H11O8N1",0.79,0.57
320.077537682052,"C15H15O7N1",1,0.47
320.135078579055,"C13H23O8N1",1.77,0.62
320.988794173102,"C13H6O10",0.46,0.77
321.023793332246,"C8H19O7S2P1",2.38,0.88
321.024221511947,"C8H11O8N4P1",1.38,1
321.025184519952,"C14H10O9",0.71,0.64
321.040407317536,"C18H10O6",0.56,0.33
321.060509546013,"C9H15O7N4P1",1.67,0.78
321.061617356378,"C15H14O8",0.93,0.53
321.076948086576,"C19H14O5",0.74,0.26
321.082701797703,"C12H18O10",1.5,0.83
321.096912906478,"C10H19O6N4P1",1.9,0.6
321.097941987758,"C16H18O7",1.12,0.44
321.109100821163,"C15H18O6N2",1.2,0.4
321.133283506729,"C11H23O5N4P1",2.09,0.45
321.133466418035,"C11H23O5N4P1",2.09,0.45
321.134383299369,"C17H22O6",1.29,0.35
321.158428101935,"C13H27O5N2P1",2.08,0.38
321.169594657419,"C12H27O4N4P1",2.25,0.33
321.170713063666,"C18H26O5",1.44,0.28
321.177185807279,"C14H31O2N2S1P1",2.21,0.14
321.191891970771,"C15H30O7",2,0.47
321.207190801157,"C19H30O4",1.58,0.21
321.210484478489,"C16H34O4S1",2.12,0.25
321.220005299054,"C16H35O4P1",2.19,0.25
322.056873888339,"C14H13O8N1",0.93,0.57
322.093222997668,"C15H17O7N1",1.13,0.47
322.996362433204,"C13H9O8P1",0.69,0.62
323.004463634778,"C13H8O10",0.62,0.77
323.019846562429,"C17H8O7",0.47,0.41
323.039663997348,"C8H13O8N4P1",1.62,1
323.03994060027,"C8H13O8N4P1",1.62,1
323.040881430433,"C14H12O9",0.86,0.64
323.042268414912,"C15H8O5N4",0.53,0.33
323.056141579063,"C18H12O6",0.67,0.33
323.0761159907,"C9H17O7N4P1",1.89,0.78
323.07724198473,"C15H16O8",1.07,0.53
323.088602100736,"C14H16O7N2",1.14,0.5
323.092504420471,"C19H16O5",0.84,0.26
323.098421412041,"C12H20O10",1.67,0.83
323.106588290328,"C17H17O1N4P1",1,0.06
323.112460893046,"C10H21O6N4P1",2.1,0.6
323.112695602453,"C10H21O6N4P1",2.1,0.6
323.113644776403,"C16H20O7",1.25,0.44
323.129024690805,"C20H20O4",1,0.2
323.148858202866,"C11H25O5N4P1",2.27,0.45
323.149033257193,"C11H25O5N4P1",2.27,0.45
323.149996090555,"C17H24O6",1.41,0.35
323.168607351698,"C18H28O3S1",1.56,0.17
323.186425251339,"C18H28O5",1.56,0.28
323.189861689995,"C15H32O5S1",2.13,0.33
324.072436637647,"C14H15O8N1",1.07,0.57
324.072622409269,"C14H15O8N1",1.07,0.57
324.09662282486,"C10H20O7N3P1",2,0.7
324.108790304387,"C15H19O7N1",1.27,0.47
324.976321949102,"C13H11O4S2P1",0.85,0.31
324.976508805128,"C13H11O4S2P1",0.85,0.31
324.976986019124,"C13H3O5N4P1",0.23,0.38
324.981118063028,"C16H6O6S1",0.38,0.38
324.981376338396,"C16H6O6S1",0.38,0.38
324.983624156006,"C12H6O11",0.5,0.92
324.984243017593,"C15H7O3N2S1P1",0.47,0.2
324.984547188803,"C13H10O6S2",0.77,0.46
324.986735805585,"C11H7O8N2P1",0.64,0.73
324.987729148568,"C12H11O3N2S2P1",0.92,0.25
324.988306320375,"C20H7O1S1P1",0.35,0.05
324.990142033585,"C8H11O8N2S1P1",1.38,1
324.990694482337,"C16H7O6P1",0.44,0.38
324.992519033345,"C15H6O5N2S1",0.4,0.33
324.994150919553,"C13H11O6S1P1",0.85,0.46
324.994873910653,"C11H6O10N2",0.55,0.91
324.996556592925,"C20H6O3S1",0.3,0.15
324.997468014804,"C10H15O6S2P1",1.5,0.6
324.997802198963,"C10H7O7N4P1",0.7,0.7
324.998025319901,"C10H7O7N4P1",0.7,0.7
324.998949222418,"C16H6O8",0.38,0.5
324.999860948006,"C17H10O3S2",0.59,0.18
325.006110031975,"C20H7O3P1",0.35,0.15
325.009215383536,"C17H11O3S1P1",0.65,0.18
325.013529011417,"C12H10O7N2S1",0.83,0.58
325.020082510893,"C13H10O10",0.77,0.77
325.03372061516,"C11H19O5S2P1",1.73,0.45
