m/z,Magnitude,S/N,Res.
144.748226,1896448,7.8,1322898
144.7485,1795530,7.3,1631464
144.748873,3320372,14.5,611888
144.749187,1198910,4.5,1884376
144.749388,2767176,11.9,739390
144.749984,2792026,12,1242742
144.750134,1486826,5.9,1884405
144.750267,1764902,7.2,1749048
144.750474,1843133,7.6,732021
144.75077,2134130,8.9,1121752
144.750979,1796592,7.3,1099063
144.751397,2258460,9.5,794648
144.751637,2172608,9.1,637763
144.751983,1335344,5.2,889284
144.752402,1552703,6.2,629216
144.752865,1627766,6.5,487509
144.753033,1512057,6,964953
144.753297,1617018,6.5,446483
144.75398,1962650,8.1,503395
144.754425,1377927,5.4,1188963
144.755052,1854838,7.6,532480
144.755361,1261158,4.8,1137042
144.755664,1718906,7,1375588
144.757038,988405,3.6,1013766
144.758083,2009326,8.3,1106405
144.75862,1083456,4,1946209
144.759329,1119924,4.2,1544663
144.759831,1156294,4.3,887721
144.760041,1404687,5.5,1069595
144.760743,1122132,4.2,1026186
144.760933,1325211,5.1,947082
144.761219,1331416,5.2,1542457
144.762951,894957,3.1,1757579
144.764325,889647,3.1,1316686
144.764748,1266552,4.9,905227
144.765123,1024715,3.7,918780
144.765493,923749,3.3,1543599
144.766052,1003463,3.6,696195
144.766861,1113644,4.1,801062
144.777738,892303,3.1,1123807
144.781013,898686,3.1,1283850
145.30698,1175927,4.4,1251125
145.639842,896511,3.1,547649
145.65342,949225,3.4,605874
145.66292,948027,3.4,1323551
145.66358,1311150,5.1,950715
145.664251,1474063,5.8,1182308
145.664995,1001230,3.6,991369
145.666601,1208872,4.6,705035
145.667372,947270,3.4,1083996
145.667923,877639,3,1224943
145.668229,894818,3.1,1290668
145.669188,1097734,4.1,981935
145.669548,1133863,4.2,1431043
145.670329,1052945,3.9,501106
145.670838,1019411,3.7,691647
145.671338,1007616,3.6,1220726
145.672023,1101520,4.1,1059294
145.672795,1240142,4.7,582144
145.674046,1245899,4.8,562817
145.67426,1390791,5.4,640172
145.674589,1282537,4.9,1130193
145.674835,1216436,4.6,658687
145.675222,1530295,6.1,603097
145.675535,1090707,4,1525844
145.675706,1116161,4.2,988892
145.675955,1099515,4.1,1404928
145.67616,1246065,4.8,1199385
145.676855,1193848,4.5,761441
145.677317,1347941,5.2,544049
145.677623,1264791,4.8,1081316
145.677753,1109327,4.1,1845923
145.6783,1535877,6.1,547356
145.678818,1490109,5.9,888539
145.67899,1330035,5.2,675934
145.67947,2262563,9.5,1351762
145.679599,2332491,9.8,1546056
145.680188,1068480,3.9,811211
145.680589,1800527,7.4,657443
145.681044,1896303,7.8,1373380
145.681289,1660584,6.7,672668
145.681557,1557763,6.2,1007842
145.681885,2096467,8.7,734482
145.68219,2716781,11.6,930043
145.682566,2012462,8.3,745800
145.682816,2979831,12.9,536011
145.68322,1737053,7.1,993078
145.683584,2443089,10.4,985450
145.683738,2786375,12,1157182
145.684026,3049185,13.2,584103
145.684684,2289260,9.6,364277
145.685416,1411539,5.5,463052
145.685692,3615591,15.9,1028253
145.686264,3141691,13.6,476019
145.686536,3930999,17.3,1089865
145.687013,3659591,16.1,1226549
145.687222,3894029,17.2,556764
145.687374,3923355,17.3,658351
145.687702,4780448,21.3,1209511
145.687916,2751979,11.8,1150050
145.688173,3087471,13.4,1461913
145.688402,2565587,10.9,1033139
145.688589,2096753,8.7,991505
145.68901,2617262,11.2,865114
145.689363,6252056,28.2,562082
145.689642,2518439,10.7,1034864
145.689792,4226168,18.7,1009224
145.690017,2979303,12.9,1107694
145.690143,2755607,11.8,1852563
145.690269,4152183,18.4,1199431
145.690423,4123463,18.2,1623831
145.690683,8763279,40,643390
145.691092,4278052,19,1092956
145.69125,1963043,8.1,1546373
145.691515,3746191,16.5,1126354
145.691741,4038867,17.8,359079
145.692179,3799935,16.7,1320565
145.692494,2027831,8.4,1179064
145.692642,3178967,13.8,824121
145.692949,1973599,8.2,1501409
145.693151,2919619,12.6,902733
145.693302,2638959,11.3,1357110
145.693478,2081375,8.7,1141930
145.69363,2010355,8.3,1585421
145.693813,4521784,20.1,1237351
145.69411,2538071,10.8,1180492
145.694371,4155515,18.4,527610
145.694598,3440207,15,1536445
145.694729,4612712,20.5,1636587
145.694987,3994383,17.6,700886
145.695211,3187447,13.8,1016822
145.695434,1729529,7,651763
145.695614,2213607,9.3,998864
145.695744,3236231,14.1,1422100
145.695898,2050109,8.5,844987
145.696101,1989007,8.2,1547230
145.696535,1911294,7.9,884049
145.696797,4127471,18.3,971985
145.697376,1881767,7.7,866123
145.697766,1802775,7.4,207327
145.698025,1461305,5.8,1636505
145.698219,1290103,5,1026722
145.698631,3181259,13.8,485944
145.699322,2205671,9.3,901156
145.699586,2530379,10.8,991717
145.699982,2208333,9.3,791823
145.700516,1779713,7.3,1071526
145.700837,898915,3.1,1673539
145.701124,1380603,5.4,1589757
145.701345,2142331,9,1208104
145.701685,2029017,8.4,1242468
145.701961,1688534,6.8,448430
145.702799,1120591,4.2,1546675
145.703626,1568013,6.3,1036527
145.704116,1170103,4.4,1303442
145.704567,1519927,6,964780
145.705289,1200033,4.5,594404
145.7063,1015827,3.7,1400309
145.706716,1135831,4.2,584291
145.706874,984775,3.5,1722415
145.707145,1475409,5.8,496455
145.707831,1146951,4.3,521966
145.708524,883881,3.1,1833361
145.708782,1216069,4.6,1296137
145.70991,980104,3.5,816686
145.710324,1004237,3.6,1327675
145.71105,889349,3.1,499701
145.714866,1316913,5.1,918995
145.715112,1114387,4.1,1178090
145.719006,1254089,4.8,912991
145.737915,926485,3.3,1074518
148.392215,881519,3.1,782604
149.792807,887793,3.1,1254832
149.812761,888223,3.1,966296
149.821673,943232,3.3,1482912
149.849076,875236,3,1154451
149.853147,1044968,3.8,1255053
149.854377,963042,3.4,1089912
149.858281,1003786,3.6,494608
149.85883,1297520,5,1150650
149.85908,1033260,3.8,1648164
149.860362,884744,3.1,1578479
149.861664,1257532,4.8,747090
149.862433,1236652,4.7,830379
149.862646,1176184,4.4,1271883
149.86319,1222797,4.7,699720
