"Inst_blank_0313_neg: 100 scans, H1=0.1, H2=0.5, TOF=0.0009, Q1=250, Ex Amp=8.75, neb=0.5 ",,,,,
"Acquired   03/13/2020,   10:35  AM",,,,,
#,m/z,I,S/N,Res.,
531,355.300706,709381,4.2,590956,
532,355.321926,1561607,10.4,496146,
533,356.059439,553674,3,701877,
534,356.087288,1241804,8.1,350317,
535,356.104325,569166,3.2,404006,
536,356.288805,733279,4.4,641753,
537,356.325086,654946,3.8,251672,
538,357.088193,1062824,6.8,554780,
539,357.133533,835244,5.1,550860,
540,357.134495,3003052,21,478913,
541,357.160419,2589870,17.9,503630,
542,357.186007,689841,4,543469,
543,357.189561,649137,3.7,542076,
544,357.192012,628401,3.6,737774,
545,357.222451,1392052,9.2,454502,
546,357.22839,1029813,6.5,467308,
547,357.241239,3386038,23.8,456808,
548,357.280006,622521,3.5,469728,
549,357.316498,677949,3.9,531033,
550,357.589829,596822,3.4,523694,
551,358.096051,4118277,29.1,490585,
552,358.16376,747531,4.5,640093,
553,358.244706,662034,3.8,479161,
554,358.840814,8329034,60,480490,
555,359.097909,669793,3.9,637304,
556,359.099624,718690,4.2,321612,
557,359.103876,20340578,147.9,470036,
558,359.113634,2259043,15.5,283143,
559,359.114734,13682531,99.2,466338,
560,359.128985,866916,5.3,518021,
561,359.132346,1207397,7.8,532582,
562,359.157358,668647,3.9,419381,
563,359.171209,832616,5.1,518345,
564,359.186387,641130,3.7,524757,
565,359.207565,584556,3.3,551878,
566,359.222901,621037,3.5,609424,
567,359.238262,574831,3.2,564727,
568,359.259166,593008,3.3,528075,
569,360.107208,4551616,32.3,465087,
570,360.11806,2112961,14.5,452120,
571,360.327316,3822548,27,480714,
572,360.836595,1182980,7.6,535307,
573,361.107076,662558,3.8,561559,
574,361.108263,2347550,16.2,434261,
575,361.110473,1093918,7,511176,
576,361.111745,1621278,10.8,499123,
577,361.119492,1288735,8.4,442620,
578,361.148031,5844002,41.8,477303,
579,361.165828,719011,4.2,390262,
580,361.191705,1240102,8.1,447887,
581,361.202179,1170983,7.6,408319,
582,361.205537,915879,5.7,394950,
583,361.238453,662954,3.8,525879,
584,361.311293,554801,3,524588,
585,361.330636,861235,5.3,509277,
586,362.06801,1423481,9.4,459989,
587,362.111605,676093,3.9,506412,
588,362.139817,1396864,9.2,537808,
589,362.151341,1404801,9.3,539076,
590,362.197444,1350277,8.9,493567,
591,362.285367,706189,4.1,503258,
592,362.342939,49774740,363.4,469623,
593,363.122697,1502941,9.9,429279,
594,363.123936,7293150,51.7,455892,
595,363.127361,2023134,13.6,509674,
596,363.181504,1226723,7.9,435403,
597,363.196869,639204,3.6,289656,
598,363.213043,670694,3.8,539429,
599,363.254253,664426,3.8,494082,
600,363.326949,606961,3.4,365069,
601,363.346285,12531955,89.6,465449,
602,364.077899,1461561,9.6,473298,
603,364.127238,2025790,13.6,481106,
604,364.211849,1099334,6.9,535983,
605,364.213094,5194054,36.6,472801,
606,364.349638,1878099,12.6,449014,
607,364.357271,6061396,42.8,373469,
608,364.358574,38175060,275.1,462213,
609,364.579504,830185,5,452932,
610,365.138366,8731039,62.1,317453,
611,365.139563,58499488,422.2,466048,
612,365.176926,554659,3,549536,
613,365.191068,574117,3.1,504681,
614,365.197099,1676453,11.1,484657,
615,365.216453,933799,5.7,520093,
616,365.233463,857641,5.2,465198,
617,365.23687,664873,3.8,532254,
618,365.254596,916651,5.6,533541,
619,365.269883,693676,4,456401,
620,365.3063,561968,3.1,627910,
621,365.34265,1937331,13,509088,
622,365.362011,9734581,69.4,471685,
623,366.142919,11739649,83.9,448706,
624,366.345855,688533,4,560712,
625,366.365298,1220247,7.8,417929,
626,367.146298,1377380,9,547004,
627,367.17646,958183,5.9,379098,
628,367.189176,5140072,36.2,466068,
629,367.206937,934250,5.7,590518,
630,367.212749,1649770,10.9,482525,
631,367.216098,1325674,8.6,483336,
632,367.227849,562540,3.1,411011,
633,367.231269,618860,3.5,485503,
634,367.246745,1282669,8.3,472268,
635,367.249062,1251438,8,462920,
636,367.2644,862575,5.2,522695,
637,367.28551,1238897,7.9,452450,
638,367.321954,1201013,7.7,447915,
639,367.358267,36897400,265.9,449538,
640,368.192562,948427,5.8,542242,
641,368.361615,9161436,65.3,445355,
642,369.133099,1227816,7.9,455943,
643,369.192044,699182,4,595914,
644,369.204751,669743,3.8,329631,
645,369.213124,11500336,82.2,441326,
646,369.221674,722993,4.2,595733,
647,369.222575,1226545,7.9,563585,
648,369.228446,668466,3.8,322323,
649,369.264763,858549,5.2,465363,
650,369.280013,663479,3.8,435466,
651,369.301126,5831481,41.2,460020,
652,369.316493,609722,3.4,541541,
653,369.337579,1559357,10.3,529224,
654,369.36493,1252415,8,499491,
655,369.373977,689728,4,653301,
656,369.554478,610770,3.4,651102,
657,370.216496,1800084,12,452957,
658,370.304423,1414557,9.2,429049,
659,370.332851,1001376,6.2,470694,
660,370.340728,644641,3.6,570177,
661,371.085759,890476,5.4,479531,
662,371.105712,750062,4.4,248919,
663,371.171107,593268,3.3,621409,
664,371.172249,750709,4.4,470813,
665,371.201755,1595640,10.5,466607,
666,371.220465,2221562,15.1,440357,
667,371.238113,1356795,8.8,448159,
668,371.244095,1059580,6.6,440582,
669,371.259254,808829,4.8,507077,
670,371.280444,991232,6.2,579177,
671,371.295788,565633,3.1,447965,
672,371.331978,862981,5.2,574485,
673,372.087716,582737,3.2,529186,
674,372.099122,2006610,13.3,470046,
675,372.241317,584545,3.2,577652,
676,373.045397,1256883,8,431434,
677,373.083105,25642166,182.2,433153,
678,373.129409,810427,4.8,566557,
679,373.16681,594879,3.2,537041,
680,373.184339,1382337,8.9,411830,
681,373.18645,919745,5.6,449285,
682,373.187804,3787969,26.1,447992,
683,373.202906,586435,3.2,477061,
684,373.217358,1280196,8.1,431848,
685,373.275066,575562,3.1,346567,
686,373.347712,570130,3.1,318765,
687,374.086427,5924126,41.3,438085,
688,374.191117,743848,4.3,417904,
689,374.245087,1023406,6.3,351206,
690,374.285401,729906,4.2,530119,
691,375.089837,614917,3.4,614247,
692,375.123954,1437320,9.3,387227,
693,375.127109,733193,4.2,388632,
694,375.135201,731146,4.2,426342,
695,375.173195,8027534,56.3,448237,
696,375.18242,5268879,36.6,416702,
697,375.233267,638484,3.6,295085,
698,375.622038,584252,3.2,433329,
699,376.176611,2064886,13.7,448093,
700,376.185737,948215,5.8,400209,
701,376.301058,598403,3.3,568072,
702,376.322235,579845,3.1,526029,
703,377.065649,638930,3.6,433237,
704,377.06758,816211,4.8,299392,
705,377.103242,649686,3.6,454786,
706,377.139514,9174618,64.5,432456,
707,377.143051,746587,4.3,560629,
708,377.165124,574685,3.1,434333,
709,377.191216,721632,4.1,425530,
710,377.19724,604896,3.3,497656,
711,377.200577,1951841,12.9,475694,
712,377.233591,590948,3.2,207019,
713,377.248762,590566,3.2,584928,
714,377.269768,577000,3.1,426856,
715,377.569268,612615,3.4,490016,
716,378.075323,860092,5.1,509563,
717,378.142887,1995716,13.3,397270,
718,378.192244,885449,5.3,525694,
719,378.337853,1023448,6.3,511137,
720,379.047065,2531107,17.1,465249,
721,379.082163,612135,3.4,551471,
722,379.11884,972075,5.9,509863,
723,379.155304,601134,3.3,442017,
724,379.176349,625713,3.5,565552,
