V1,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,V10,ppm.1,Intensity.1,Width.1,Area.1,Type.1,Flags.1,Impurity/Compound.1,Annotation.1,V19,ppm.2,Intensity.2,Width.2,Area.2,Type.2,Flags.2,Impurity/Compound.2,Annotation.2,V28,ppm.3,Intensity.3,Width.3,Area.3,Type.3,Flags.3,Impurity/Compound.3,Annotation.3,V37,ppm.4,Intensity.4,Width.4,Area.4,Type.4,Flags.4,Impurity/Compound.4,Annotation.4,V46,ppm.5,Intensity.5,Width.5,Area.5,Type.5,Flags.5,Impurity/Compound.5,Annotation.5,V55,ppm.6,Intensity.6,Width.6,Area.6,Type.6,Flags.6,Impurity/Compound.6,Annotation.6,V64,ppm.7,Intensity.7,Width.7,Area.7,Type.7,Flags.7,Impurity/Compound.7,Annotation.7,V73,ppm.8,Intensity.8,Width.8,Area.8,Type.8,Flags.8,Impurity/Compound.8,Annotation.8,V82,ppm.9,Intensity.9,Width.9,Area.9,Type.9,Flags.9,Impurity/Compound.9,Annotation.9,V91,ppm.10,Intensity.10,Width.10,Area.10,Type.10,Flags.10,Impurity/Compound.10,Annotation.10,V100,ppm.11,Intensity.11,Width.11,Area.11,Type.11,Flags.11,Impurity/Compound.11,Annotation.11,source,V109,ppm.12,Intensity.12,Width.12,Area.12,Type.12,Flags.12,Impurity/Compound.12,Annotation.12,v
9,6.98,0.1,15.46,14.52,Compound,None,NA,NA,34,2.68,0.1,1.51,1.55,Solvent,Weak + C13_Sat,NA,NA,59,2.19,0,2.91,1.31,Compound,None,NA,NA,84,1.11,0,2.07,0.35,Artifact,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,6.52,0.1,1.63,1.14,Impurity,None,NA,NA,35,2.67,0.3,1.92,6.52,Solvent,Weak + C13_Sat,NA,NA,60,2.18,0,4.6,0.71,Impurity,Weak,NA,NA,85,1.08,0,2.21,0.4,Artifact,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,6.37,0,0.89,0.08,Artifact,Weak,NA,NA,36,2.67,0.4,1.92,10.13,Solvent,Weak + C13_Sat,NA,NA,61,2.04,0.1,2.95,3.34,Compound,None,NA,NA,86,1.07,0.1,1.07,0.8,Impurity,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4.42,0,10.2,3.44,Compound,None,NA,NA,37,2.66,0.3,2.09,8.43,Solvent,Weak + C13_Sat,NA,NA,62,2.01,0,5.21,1.6,Impurity,None,NA,NA,87,1.05,0.1,0.72,0.39,Impurity,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4.36,0,1.93,0.29,Impurity,Weak,NA,NA,38,2.66,0.1,1.8,2.59,Solvent,Weak + C13_Sat,NA,NA,63,1.91,0.1,1.27,1.64,Impurity,None,NA,NA,88,1.04,1.5,3.75,62.49,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4.34,0,2.19,0.69,Impurity,None,NA,NA,39,2.62,0.1,22.04,18.58,Artifact,Weak,NA,NA,64,1.87,0,39.5,11.37,Compound,None,NA,NA,89,1.03,1.9,4.82,110.43,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,4.33,0,2.42,0.48,Impurity,Weak,NA,NA,40,2.58,0,1.14,0.12,Artifact,Weak,NA,NA,65,1.54,0,4.73,1.35,Impurity,None,NA,NA,90,1.02,0.3,3.82,15.79,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4.13,0,6.96,1.46,Impurity,None,NA,NA,41,2.52,0,0.65,0.07,Artifact,Weak,NA,NA,66,1.52,0,1.42,0.16,Artifact,Weak,NA,NA,91,1,0.3,3.6,12.19,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3.94,0,2.49,0.32,Impurity,Weak,NA,NA,42,2.51,17.6,1.5,260.34,Solvent,None,NA,NA,67,1.52,0,4.06,1.47,Compound,None,NA,NA,92,0.87,0,2.04,0.28,Compound,Weak + C13_Sat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,3.74,0.1,248.86,475.15,Compound,None,NA,NA,43,2.5,47.3,1.66,976.44,Solvent,None,NA,NA,68,1.5,0.1,11.16,13.98,Compound,None,NA,NA,93,0.87,0,3.62,0.84,Impurity,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,3.66,0,5.99,2.31,Artifact,Weak,NA,NA,44,2.5,79.7,2.16,2202.99,Solvent,None,NA,NA,69,1.48,0,5.15,2.53,Compound,None,NA,NA,94,0.85,0,2.43,1.26,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,3.65,0,4.14,0.99,Artifact,Weak,NA,NA,45,2.5,52.8,1.92,1344.84,Solvent,None,NA,NA,70,1.4,0.1,3.91,3.93,Compound,None,NA,NA,95,0.84,0.1,45.62,68.87,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3.64,0,3.14,0.82,Artifact,Weak,NA,NA,46,2.49,24.2,1.83,584.71,Solvent,None,NA,NA,71,1.39,0.1,7.21,9.76,Compound,None,NA,NA,96,0.13,0,0.86,0.2,Impurity,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,3.57,0.1,1.34,0.89,Artifact,Weak,NA,NA,47,2.38,0.1,184.19,310.68,Artifact,Weak,NA,NA,72,1.35,0,1.88,0.39,Impurity,Weak,NA,NA,97,0.08,0.4,1.14,6.05,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,3.54,0.2,104.64,239.52,Artifact,Weak,NA,NA,48,2.34,0.1,1.33,0.93,Solvent,Weak + C13_Sat,NA,NA,73,1.32,0,5.8,1.54,Impurity,None,NA,NA,98,0.07,0,10.49,2.22,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,3.52,0,2.82,0.82,Artifact,Weak,NA,NA,49,2.33,0.2,1.83,5.13,Solvent,Weak + C13_Sat,NA,NA,74,1.3,0,2.45,0.36,Impurity,Weak,NA,NA,99,0.07,0,1.47,0.56,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,3.51,0.2,3.87,10.71,Artifact,Weak,NA,NA,50,2.33,0.4,2.14,11.21,Solvent,Weak + C13_Sat,NA,NA,75,1.28,0,167.39,90.07,Compound,None,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//135.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11.97,0,1.15,0.08,Artifact,Weak,NA,NA,26,3.55,0,6.1,1.2,Compound,None,NA,NA,51,2.66,0.3,1.56,5.58,Solvent,Weak + C13_Sat,NA,NA,76,1.66,0,0.57,0.03,Artifact,Weak,NA,NA,101,1.06,0,1.32,0.28,Compound,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,10.78,0,1.41,0.13,Artifact,Weak,NA,NA,27,3.53,0,1.65,0.17,Artifact,Weak,NA,NA,52,2.66,0.1,1.45,2.26,Solvent,Weak + C13_Sat,NA,NA,77,1.56,0,1.42,0.11,Impurity,Weak,NA,NA,102,1.05,0.2,1.02,3.1,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10.2,0,0.87,0.1,Impurity,Weak,NA,NA,28,3.5,0.6,2.47,18.44,Compound,None,NA,NA,53,2.52,0.2,1.07,1.91,Artifact,Weak,NA,NA,78,1.54,0,3.54,0.71,Compound,None,NA,NA,103,1.05,0.3,2.61,7.89,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,8.52,0,0.8,0.05,Artifact,Weak,NA,NA,29,3.49,0,2.35,0.72,Artifact,Weak,NA,NA,54,2.51,22.1,1.35,354.9,Solvent,None,NA,NA,79,1.52,0,6.3,3.28,Compound,None,NA,NA,104,1.04,0.2,2.68,8.62,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,8.13,0,2.84,0.17,Artifact,Weak,NA,NA,30,3.48,0.1,9.41,9.03,Artifact,Weak,NA,NA,55,2.5,57.2,1.65,1231,Solvent,None,NA,NA,80,1.5,0.1,4.69,3.54,Compound,None,NA,NA,105,1.04,0.1,0.93,1.17,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7.22,0.1,10.98,19.01,Compound,None,NA,NA,31,3.46,0,1.69,0.22,Artifact,Weak,NA,NA,56,2.5,80.8,1.65,1665.44,Solvent,None,NA,NA,81,1.49,0,4.63,2.07,Compound,None,NA,NA,106,1.03,0.3,2.85,9.65,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7.09,0.1,11.86,19.98,Compound,None,NA,NA,32,3.45,0,0.81,0.25,Artifact,Weak,NA,NA,57,2.5,57.2,1.61,1168.43,Solvent,None,NA,NA,82,1.47,0,2.2,0.2,Impurity,Weak,NA,NA,107,1.03,0.2,2.61,6.88,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,6.96,0.1,12.14,20.06,Compound,None,NA,NA,33,3.45,0,4.36,1.97,Artifact,Weak,NA,NA,58,2.49,21.2,1.29,315.08,Solvent,None,NA,NA,83,1.35,0,1.35,0.34,Impurity,None,NA,NA,108,1.02,0,3.01,1.48,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,6.8,0,1.51,0.1,Impurity,Weak,NA,NA,34,3.44,0,1.35,0.6,Artifact,Weak,NA,NA,59,2.34,0.1,1.33,1.89,Solvent,Weak + C13_Sat,NA,NA,84,1.34,0,1.27,0.12,Impurity,Weak,NA,NA,109,1,0,2.87,0.91,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,6.52,0.1,1.34,1.46,Compound,None,NA,NA,35,3.44,0,1.19,0.59,Artifact,Weak,NA,NA,60,2.33,0.3,1.63,6.37,Solvent,Weak + C13_Sat,NA,NA,85,1.32,0,3,0.51,Impurity,None,NA,NA,110,0.9,0,1.05,0.11,Impurity,Weak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,5.26,0,3.05,0.27,Artifact,Weak,NA,NA,36,3.43,0,2.91,0.63,Artifact,Weak,NA,NA,61,2.33,0.4,1.65,9.83,Solvent,Weak + C13_Sat,NA,NA,86,1.3,0,3.08,0.78,Impurity,None,NA,NA,111,0.88,0,72.1,30.72,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,5.07,0,3.51,0.29,Artifact,Weak,NA,NA,37,3.42,0.1,2.02,2.06,Artifact,Weak,NA,NA,62,2.32,0.3,1.58,5.96,Solvent,Weak + C13_Sat,NA,NA,87,1.29,0,1.34,0.12,Impurity,Weak,NA,NA,112,0.86,0,4.09,1.82,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4.36,0,1.57,0.41,Impurity,None,NA,NA,38,3.42,0.1,2.73,1.81,Artifact,Weak,NA,NA,63,2.32,0.1,1.41,1.99,Solvent,Weak + C13_Sat,NA,NA,88,1.28,0,0.9,0.05,Artifact,Weak,NA,NA,113,0.86,0,1.07,0.43,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4.34,0,1.64,0.83,Impurity,None,NA,NA,39,3.41,0.1,4.25,2.2,Artifact,Weak,NA,NA,64,2.28,0,10.57,1.21,Compound,None,NA,NA,89,1.26,0,1.21,0.13,Impurity,Weak,NA,NA,114,0.85,0,2.06,0.57,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,4.33,0,2.03,0.45,Impurity,None,NA,NA,40,3.39,0,182.71,57.14,Artifact,Weak,NA,NA,65,2.23,0,2.08,1.02,Compound,None,NA,NA,90,1.26,0.1,79.84,62.65,Compound,None,NA,NA,115,0.85,0,2.2,0.96,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4.31,0,5.06,0.8,Impurity,None,NA,NA,41,3.08,0,74.67,13.54,Compound,None,NA,NA,66,2.21,0.1,2.02,2.31,Compound,None,NA,NA,91,1.25,0.1,6.3,12.35,Compound,None,NA,NA,116,0.83,0,18.59,10.5,Compound,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,4.26,0,0.81,0.06,Artifact,Weak,NA,NA,42,2.95,0,6.96,0.81,Compound,None,NA,NA,67,2.2,0,6.42,0.91,Compound,None,NA,NA,92,1.23,0.2,3.67,9.79,Compound,None,NA,NA,117,0.13,0,1.12,0.29,Impurity,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data/nmr_peaks//136.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
