Mass,C,H,O,N,C13,S,P,Na,El_comp
139.9008565,0,0,0,0,0,0,0,0,
139.9010102,0,0,0,0,0,0,0,0,
139.9011073,0,0,0,0,0,0,0,0,
139.9012802,0,0,0,0,0,0,0,0,
139.9013778,0,0,0,0,0,0,0,0,
139.9014736,0,0,0,0,0,0,0,0,
139.9016668,0,0,0,0,0,0,0,0,
139.9017632,0,0,0,0,0,0,0,0,
139.9018622,0,0,0,0,0,0,0,0,
139.9020132,0,0,0,0,0,0,0,0,
139.9021214,0,0,0,0,0,0,0,0,
139.9022236,0,0,0,0,0,0,0,0,
139.9024191,0,0,0,0,0,0,0,0,
139.9026721,0,0,0,0,0,0,0,0,
139.9027979,0,0,0,0,0,0,0,0,
139.9028956,0,0,0,0,0,0,0,0,
139.9030526,0,0,0,0,0,0,0,0,
139.9031722,0,0,0,0,0,0,0,0,
139.9032771,0,0,0,0,0,0,0,0,
139.9033576,0,0,0,0,0,0,0,0,
139.9034453,0,0,0,0,0,0,0,0,
139.903629,0,0,0,0,0,0,0,0,
139.9037443,0,0,0,0,0,0,0,0,
139.9039906,0,0,0,0,0,0,0,0,
139.9042483,0,0,0,0,0,0,0,0,
139.9043466,0,0,0,0,0,0,0,0,
139.9045071,0,0,0,0,0,0,0,0,
139.9047451,0,0,0,0,0,0,0,0,
139.9048782,0,0,0,0,0,0,0,0,
139.904993,0,0,0,0,0,0,0,0,
139.9051544,0,0,0,0,0,0,0,0,
139.9053648,0,0,0,0,0,0,0,0,
139.9054539,0,0,0,0,0,0,0,0,
139.9055483,0,0,0,0,0,0,0,0,
139.9057416,0,0,0,0,0,0,0,0,
139.9058872,0,0,0,0,0,0,0,0,
139.906049,0,0,0,0,0,0,0,0,
139.9061704,0,0,0,0,0,0,0,0,
139.9062792,0,0,0,0,0,0,0,0,
139.9063839,0,0,0,0,0,0,0,0,
139.9065385,0,0,0,0,0,0,0,0,
139.9066989,0,0,0,0,0,0,0,0,
139.9068902,0,0,0,0,0,0,0,0,
139.9069945,0,0,0,0,0,0,0,0,
139.9071406,0,0,0,0,0,0,0,0,
139.9072949,0,0,0,0,0,0,0,0,
139.9074369,0,0,0,0,0,0,0,0,
139.9076141,0,0,0,0,0,0,0,0,
139.9077166,0,0,0,0,0,0,0,0,
139.9078455,0,0,0,0,0,0,0,0,
139.9080126,0,0,0,0,0,0,0,0,
139.9081427,0,0,0,0,0,0,0,0,
139.9082673,0,0,0,0,0,0,0,0,
139.9084578,0,0,0,0,0,0,0,0,
139.908555,0,0,0,0,0,0,0,0,
139.908748,0,0,0,0,0,0,0,0,
139.9088137,0,0,0,0,0,0,0,0,
139.908966,0,0,0,0,0,0,0,0,
139.9091104,0,0,0,0,0,0,0,0,
139.909252,0,0,0,0,0,0,0,0,
139.9093286,0,0,0,0,0,0,0,0,
139.9095216,0,0,0,0,0,0,0,0,
139.9096093,0,0,0,0,0,0,0,0,
139.9097783,0,0,0,0,0,0,0,0,
139.9098831,0,0,0,0,0,0,0,0,
139.9101051,0,0,0,0,0,0,0,0,
139.9102275,0,0,0,0,0,0,0,0,
139.9103829,0,0,0,0,0,0,0,0,
139.910492,0,0,0,0,0,0,0,0,
139.9106348,0,0,0,0,0,0,0,0,
139.9107804,0,0,0,0,0,0,0,0,
139.9109082,0,0,0,0,0,0,0,0,
139.911029,0,0,0,0,0,0,0,0,
139.9112142,0,0,0,0,0,0,0,0,
139.9112943,0,0,0,0,0,0,0,0,
139.9114525,0,0,0,0,0,0,0,0,
139.9115962,0,0,0,0,0,0,0,0,
139.9117094,0,0,0,0,0,0,0,0,
139.9118437,0,0,0,0,0,0,0,0,
139.9119967,0,0,0,0,0,0,0,0,
139.9120881,0,0,0,0,0,0,0,0,
139.9122499,0,0,0,0,0,0,0,0,
139.9123953,0,0,0,0,0,0,0,0,
139.9124764,0,0,0,0,0,0,0,0,
139.9127388,0,0,0,0,0,0,0,0,
139.9128772,0,0,0,0,0,0,0,0,
139.9129835,0,0,0,0,0,0,0,0,
139.913107,0,0,0,0,0,0,0,0,
139.9132109,0,0,0,0,0,0,0,0,
139.9133461,0,0,0,0,0,0,0,0,
139.913459,0,0,0,0,0,0,0,0,
139.9135779,0,0,0,0,0,0,0,0,
139.9137259,0,0,0,0,0,0,0,0,
139.9138732,0,0,0,0,0,0,0,0,
139.9140529,0,0,0,0,0,0,0,0,
139.9141819,0,0,0,0,0,0,0,0,
139.9143028,0,0,0,0,0,0,0,0,
139.9144656,0,0,0,0,0,0,0,0,
139.9145897,0,0,0,0,0,0,0,0,
139.9147079,0,0,0,0,0,0,0,0,
