m/z,I,S/N,Res.
359.098677,3659396,15.3,550602
359.113917,3382917,14.1,631422
359.135006,2452615,9.9,602343
359.150278,2638472,10.8,635938
359.171439,1402762,5.2,597300
359.186763,997772,3.4,632312
359.193835,1428364,5.3,443825
359.77737,957376,3.2,622885
360.117148,1008222,3.5,903643
360.153749,992865,3.4,821856
361.020391,2088493,8.3,603763
361.055654,1064561,3.7,391603
361.056813,4960561,21.2,594445
361.077948,1340978,5,684473
361.091566,1012020,3.5,870513
361.093181,5717812,24.6,603538
361.114198,1123126,4,624330
361.128437,1242423,4.5,967188
361.129561,5006647,21.4,570583
361.165956,3286330,13.7,577926
361.202225,1064765,3.7,880324
362.096479,1041005,3.6,480103
362.132902,1172880,4.2,784390
363.036071,3733472,15.6,551903
363.070922,1409507,5.2,771132
363.072434,6756323,29.1,545521
363.108833,7840743,33.9,591911
363.145172,6772714,29.2,570249
363.181596,3299821,13.7,599853
364.103984,928831,3.1,711177
364.11219,1070528,3.7,668654
364.148523,1303619,4.8,644748
364.184816,919622,3.1,472499
364.226252,1277130,4.6,658421
365.015389,1508752,5.7,640451
365.051756,6541460,28.1,584778
365.088069,8663191,37.6,558154
365.123324,1712026,6.6,667316
365.124522,9641114,41.9,559956
365.159494,1259421,4.6,736492
365.160882,6252702,26.8,548366
365.19727,2572449,10.4,569829
366.055147,1200877,4.3,629067
366.08328,957296,3.2,838629
366.091547,1257457,4.6,523162
366.127851,2221812,8.9,679169
366.164279,1482231,5.6,706583
366.963691,1861695,7.3,746749
366.964883,9562431,41.6,567377
367.031058,3246917,13.4,638018
367.046367,1193030,4.3,714611
367.067351,9155912,39.8,568549
367.103755,10329419,45,543821
367.138718,1438287,5.4,629282
367.140162,9255247,40.2,551911
367.176478,4278098,18,586644
367.212883,1213013,4.4,823922
367.964526,2011545,7.9,706549
368.070756,1169187,4.1,460363
368.10707,2356646,9.4,556442
368.143479,1701801,6.5,634112
368.179866,955564,3.2,643641
368.961786,1463027,5.4,693254
369.046681,5255163,22.3,561362
369.061905,1523452,5.7,781101
369.072588,1036669,3.6,634274
369.083005,9129470,39.5,562835
369.098163,1084415,3.8,687436
369.118104,1679873,6.4,528676
369.119435,9169409,39.6,575355
369.154602,1507588,5.6,827716
369.155822,5955077,25.4,556553
369.192105,2076424,8.2,592636
370.049975,926678,3.1,724580
370.086407,1374425,5.1,524078
370.122731,1719004,6.6,454232
370.159154,1487711,5.6,454403
370.578826,1248646,4.5,598490
371.025871,1149102,4.1,675500
371.041151,2034864,8,628488
371.062324,5918386,25.2,562477
371.077599,1740339,6.7,494129
371.098713,7533237,32.4,573290
371.113911,1757622,6.7,593831
371.13506,5755064,24.5,586259
371.150336,924858,3.1,980986
371.171473,2855612,11.6,589706
371.230353,1468353,5.5,548667
372.065763,1004429,3.4,739627
372.102041,1589776,6,641403
372.138408,1043988,3.6,817762
372.214479,1218843,4.4,566436
373.020454,1502821,5.6,680358
373.041546,1670247,6.4,561083
373.056871,2947688,12,522412
373.07792,4068714,17,531724
373.083237,1526890,5.7,461878
373.09321,3366251,13.9,577156
373.114305,3620717,15,531472
373.129628,3171695,13,684692
373.15075,1729649,6.6,498393
373.165941,1733746,6.6,339903
373.187164,1074676,3.7,778170
373.209526,1202550,4.3,788954
374.081145,1258950,4.5,675130
374.132859,1146699,4,586061
374.221671,1052371,3.6,461189
